emotion,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot,Body_translational
TRE,0.3505812406,0.08535059049,0.2764891888,0.3642337544,0.2365162714,0.337969701,0.2357759845,1.168746325,0.9439534735,1.586230004,1.051451221,0.3100723247,0.3197030787,1.654439502,2.564178442,0.453371005
TRE,0.3325066107,0.07135924431,0.2638830454,0.3252918891,0.2491884314,0.3572937666,0.266483019,1.049766287,0.8220958369,1.338336403,0.8944824158,0.3285659739,0.3487913542,1.507145002,2.372741649,0.3977987402
TRE,0.3229418266,0.1233907651,0.2599005783,0.3044912336,0.1942395183,0.2852502862,0.2050502564,0.967327614,0.7973264575,1.298505094,0.8277707728,0.3228659987,0.275352144,1.35029689,1.803971649,0.3838491392
TRE,0.3424656056,0.2157348293,0.2850983537,0.342888286,0.2081779342,0.3619516271,0.235963478,1.128158444,0.8934868118,1.448893137,0.9205300493,0.279648056,0.344654804,1.550441074,1.970401478,0.4306860517
TRE,0.2983477649,0.1090732183,0.2391300659,0.3976719041,0.1600851457,0.3763616855,0.221571693,0.8622871966,0.6996192892,1.13388773,0.7691682021,0.2565462853,0.3005902869,1.264051366,1.608591519,0.3358146302
COE,2.514576308,1.226655209,3.306041108,3.001107729,4.639970729,3.262973176,4.493683948,4.619826766,2.768863479,4.498740584,2.70903271,2.84498027,2.068329191,4.357690154,4.335231706,2.200420933
COE,2.383154788,1.210787273,2.927876766,2.866108447,3.652132267,2.84738799,3.204176826,4.195310433,2.738160058,4.36376752,2.559511958,2.461443944,2.040068217,3.964942981,4.387299321,2.087301269
COE,2.56861661,1.518127049,3.3029738,3.622425541,5.2850445,3.244215792,3.327189886,4.813414308,3.49125706,4.598326091,2.708620838,3.160265803,1.737090051,4.208697808,4.402585743,2.260446193
COE,2.131361391,1.207173833,2.741855237,2.708280513,3.332033075,2.391531033,2.554138028,4.129874537,2.942681734,4.038734717,2.637051664,1.967707932,1.389799263,3.996019411,3.911403044,1.859978016
COE,2.542639989,1.326381298,3.253122879,3.298186416,4.433204169,3.036460837,3.565361731,4.880597143,3.516715963,4.388566764,2.644429201,2.820243388,1.904633046,4.273189588,4.305396273,2.131550992
