joint,time,angle_type,angle_deg
Body,3.03333,yaw,-81.12201694
Body,3.06667,yaw,-80.19667052
Body,3.1,yaw,-79.31336279
Body,3.13333,yaw,-78.81151167
Body,3.16667,yaw,-78.24326188
Body,3.2,yaw,-77.73515408
Body,3.23333,yaw,-76.96120587
Body,3.26667,yaw,-75.67881501
Body,3.3,yaw,-74.46691726
Body,3.33333,yaw,-73.10386411
Body,3.36667,yaw,-71.25168835
Body,3.4,yaw,-70.64884691
Body,3.43333,yaw,-71.88037688
Body,3.46667,yaw,-75.39028791
Body,3.5,yaw,-80.99470577
Body,3.53333,yaw,-86.48801434
Body,3.56667,yaw,-89.86233721
Body,3.6,yaw,-91.66656299
Body,3.63333,yaw,-93.90936439
Body,3.66667,yaw,-96.36707258
Body,3.7,yaw,-97.4772406
Body,3.73333,yaw,-98.18984086
Body,3.76667,yaw,-98.11680469
Body,3.8,yaw,-97.00969727
Body,3.83333,yaw,-95.52209769
Body,3.86667,yaw,-94.78672317
Body,3.9,yaw,-96.70218728
Body,3.93333,yaw,-101.729113
Body,3.96667,yaw,-104.1757413
Body,4,yaw,-104.5022412
Body,4.03333,yaw,-102.9395907
Body,4.06667,yaw,-99.2662654
Body,4.1,yaw,-94.80503949
Body,4.13333,yaw,-91.09424832
Body,4.16667,yaw,-88.87734595
Body,4.2,yaw,-87.59932379
Body,4.23333,yaw,-86.27897512
Body,4.26667,yaw,-85.20927478
Body,4.3,yaw,-83.91721494
Body,4.33333,yaw,-82.94794083
Body,4.36667,yaw,-82.43029418
Body,4.4,yaw,-82.13842467
Body,4.43333,yaw,-82.17316214
Body,4.46667,yaw,-82.43226211
Body,4.5,yaw,-81.92057629
Body,4.53333,yaw,-81.61844223
Body,4.56667,yaw,-81.58565602
Body,4.6,yaw,-83.57599711
Body,4.63333,yaw,-86.02101144
Body,4.66667,yaw,-88.20545016
Body,4.7,yaw,-89.7134104
Body,4.73333,yaw,-90.46656971
Body,4.76667,yaw,-89.71092275
Body,4.8,yaw,-89.44135646
Body,4.83333,yaw,-89.80884209
Body,4.86667,yaw,-89.99637554
Body,4.9,yaw,-89.73010288
Body,4.93333,yaw,-89.52131697
Body,4.96667,yaw,-89.54329046
Body,5,yaw,-89.28881688
Body,5.03333,yaw,-89.36503725
Body,5.06667,yaw,-90.76261816
Body,5.1,yaw,-92.27859768
Body,5.13333,yaw,-93.31182799
Body,5.16667,yaw,-94.30154311
Body,5.2,yaw,-94.3857956
Body,5.23333,yaw,-93.94682231
Body,5.26667,yaw,-93.36908265
Body,5.3,yaw,-92.33514369
Body,5.33333,yaw,-91.35547193
Body,5.36667,yaw,-90.52061826
Body,5.4,yaw,-89.38423537
Body,5.43333,yaw,-87.90434618
Body,5.46667,yaw,-86.60522508
Body,5.5,yaw,-85.18249978
Body,5.53333,yaw,-84.15701043
Body,5.56667,yaw,-83.42284116
