data_name,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot
SALECOE05.4,94.37742617,66.38139953,122.5868879,201.2390425,225.4114792,124.2075321,89.56437482,279.7478044,190.0992477,284.4516192,219.776297,173.3208049,134.9110548,324.2281476,292.5731406
SALEJOE01.4,91.91180517,40.77434062,109.6337026,142.2631153,175.5126928,119.892369,91.33075682,294.4495496,198.9339575,303.1014049,249.5858372,152.4719838,141.4275054,312.9618072,312.2352487
SALEJOE02.4,88.38379788,45.33177159,113.285181,146.4448169,176.4109137,153.9306784,131.6505071,291.1326177,189.3851361,273.1554987,173.3520643,152.4036586,129.3648167,307.1158705,333.6588284
SALEJOE03.4,87.24393516,43.5486526,104.5265996,131.3836784,172.824667,127.392072,109.8965229,269.7262132,161.3394156,312.3046973,257.8141505,133.8529941,117.0690642,275.3307266,327.4778608
SALEJOE04.4,92.77960561,48.17884452,118.6951817,166.4464257,131.5396755,148.6728024,120.6142531,291.4641442,197.4880828,285.9479833,233.2642753,149.263123,135.8460531,309.504828,299.5803119
SALEJOE05.4,74.70922699,54.24623967,101.869025,98.06758325,119.0369242,113.2724897,98.55652877,251.0740284,163.1206802,239.2917732,145.0250303,114.0304803,98.62953838,268.6131432,293.671652
SALENEE01.4,51.79208734,22.92607906,58.91215254,73.42193357,50.29457514,53.9262919,24.73114649,172.2827756,108.4016815,193.465611,167.6370355,71.68045719,74.17736162,210.9304592,209.6583014
SALENEE02.4,78.62752003,23.61475829,84.55058626,112.8199982,116.1142327,86.80430535,49.10567212,247.3566273,150.2515178,283.2976028,245.9708286,124.2172336,114.0148276,285.3887659,298.2326672
SALENEE03.4,69.62022432,23.41258001,75.54747523,106.3126473,91.11791646,63.85688349,13.29349718,230.6169045,154.5807127,253.8103347,215.1790794,111.4268455,92.91601173,262.3133508,263.1652442
SALENEE04.4,71.89453641,25.77090517,80.63995553,101.4093381,88.66327252,55.45883826,14.69223566,249.8822393,184.2138553,250.9642272,173.9615969,105.8305944,73.38975523,273.0682666,311.5651659
SALENEE05.4,70.16766567,20.87286272,78.48638608,107.222111,78.28736037,77.50691107,49.77080199,211.2471476,143.0537509,260.7903858,223.2457392,100.9496429,96.15192314,234.9400252,267.8246181
SALETRE01.4,48.49584035,18.17968438,50.23423864,43.68225204,22.21985823,34.1074955,10.135044,163.5914086,101.0749559,202.2959313,164.4198062,41.94379097,38.56707726,208.1312769,217.4857526
SALETRE02.4,49.95394268,24.30935054,54.20905819,47.45938905,20.33306224,34.45706878,11.21697324,178.8000493,104.9543143,193.9702336,152.1071516,41.53835753,38.03878867,232.9551706,212.6901101
SALETRE03.4,49.51693437,28.5423392,53.52421608,47.15367455,25.8712406,32.90240946,11.3956558,175.3915766,102.8711096,200.228801,156.0299409,43.45661007,36.46939757,212.6618395,211.8978122
SALETRE04.4,47.89444938,23.1325192,50.30662335,45.14631838,21.68901973,33.03661905,10.21154959,173.564798,100.7140786,185.6154275,141.6700613,41.31861227,43.95570992,229.2367767,197.8985292
SALETRE05.4,41.96247075,32.87476018,43.12171129,37.49235243,29.24933319,26.88284275,9.362439015,152.3912565,92.43105964,160.3518557,120.2453072,38.60144267,34.86501396,182.6368457,168.9634844
